time,value
00:00:01,53
00:00:16,53
00:00:26,52
00:00:31,53
00:00:36,54
00:00:46,53
00:00:51,54
00:01:06,53
00:01:16,52
00:01:31,53
00:01:41,52
00:01:46,53
00:02:01,53
00:02:16,53
00:02:26,54
00:02:36,55
00:02:46,54
00:02:56,53
00:03:11,53
00:03:21,54
00:03:36,54
00:03:51,54
00:03:54,54
00:03:59,53
00:04:14,53
00:04:24,54
00:04:29,53
00:04:34,54
00:04:44,53
00:04:59,53
00:05:04,52
00:05:09,53
00:05:24,53
00:05:39,53
00:05:54,53
00:06:04,53
00:06:14,53
00:06:19,52
00:06:24,51
00:06:29,50
00:06:34,51
00:06:49,51
00:06:54,53
00:06:59,54
00:07:04,56
00:07:09,59
00:07:14,62
00:07:19,63
00:07:24,65
00:07:31,66
00:07:36,65
00:07:41,62
00:07:46,60
00:07:51,57
00:07:56,56
00:08:01,54
00:08:06,53
00:08:11,52
00:08:16,50
00:08:31,50
00:08:46,50
00:08:51,51
00:09:01,52
00:09:06,54
00:09:11,53
00:09:26,53
00:09:41,53
00:09:56,54
00:10:11,54
00:10:26,53
00:10:41,53
00:10:46,54
00:10:56,53
00:11:06,52
00:11:16,53
00:11:21,54
00:11:28,54
00:11:38,53
00:11:48,54
00:12:03,54
00:12:18,53
00:12:33,53
00:12:38,54
00:12:48,55
00:12:58,54
00:13:13,54
00:13:18,53
00:13:33,53
00:13:38,54
00:13:53,53
00:14:08,53
00:14:13,54
00:14:28,54
00:14:33,55
00:14:48,54
00:15:03,54
00:15:18,54
00:15:28,55
00:15:43,55
00:15:48,54
00:16:03,53
00:16:08,54
00:16:13,55
00:16:20,54
00:16:35,54
00:16:50,54
00:17:05,56
00:17:10,55
00:17:15,54
00:17:25,53
00:17:35,55
00:17:45,54
00:18:00,54
00:18:10,55
00:18:15,54
00:18:20,55
00:18:25,54
00:18:30,53
00:18:40,54
00:18:55,54
00:19:05,53
00:19:20,53
00:19:35,53
00:19:45,54
00:19:55,53
00:20:05,52
00:20:10,53
00:20:20,54
00:20:35,54
00:20:50,54
00:20:53,54
00:20:58,55
00:21:08,54
00:21:18,53
00:21:28,52
00:21:43,52
00:21:48,53
00:21:53,53
00:21:58,65
00:22:03,66
00:22:08,71
00:22:13,73
00:22:18,75
00:22:23,75
00:22:28,74
00:22:33,71
00:22:38,68
00:22:43,65
00:22:48,62
00:22:53,57
00:22:58,56
00:23:03,53
00:23:08,51
00:23:13,50
00:23:18,56
00:23:23,53
00:23:30,51
00:23:35,50
00:23:40,49
00:23:45,49
00:23:50,47
00:24:05,48
00:24:15,49
00:24:25,53
00:24:30,52
00:24:40,53
00:24:50,52
00:25:05,52
00:25:10,51
00:25:20,52
00:25:25,51
00:25:40,51
00:25:55,52
00:26:00,53
00:26:15,52
00:26:25,51
00:26:30,52
00:26:45,54
00:26:55,53
00:27:05,52
00:27:15,53
00:27:25,52
00:27:30,53
00:27:37,53
00:27:47,54
00:27:57,54
00:28:02,53
00:28:07,52
00:28:22,52
00:28:27,51
00:28:37,52
00:28:42,53
00:28:47,54
00:29:02,54
00:29:12,55
00:29:22,54
00:29:37,53
00:29:52,54
00:29:57,53
00:30:02,54
00:30:17,55
00:30:32,54
00:30:42,53
00:30:57,53
00:31:02,52
00:31:17,52
00:31:22,54
00:31:37,54
00:31:42,55
00:31:47,54
00:31:54,53
00:31:59,52
00:32:04,53
00:32:19,53
00:32:34,54
00:32:49,54
00:32:54,53
00:32:59,54
00:33:09,53
00:33:24,53
00:33:34,54
00:33:39,55
00:33:44,54
00:33:54,53
00:34:09,53
00:34:24,53
00:34:29,54
00:34:44,54
00:34:49,53
00:34:59,54
00:35:14,53
00:35:24,52
00:35:29,53
00:35:44,53
00:35:59,53
00:36:04,54
00:36:09,53
00:36:16,53
00:36:26,54
00:36:31,53
00:36:36,54
00:36:41,53
00:36:56,53
00:37:01,54
00:37:11,53
00:37:26,53
00:37:31,54
00:37:36,53
00:37:51,53
00:38:06,53
00:38:16,54
00:38:26,53
00:38:36,54
00:38:41,55
00:38:46,58
00:38:51,76
00:38:56,76
00:39:01,75
00:39:11,69
00:39:16,67
00:39:26,66
00:39:31,65
00:39:39,65
00:39:44,64
00:39:54,64
00:40:09,63
00:40:19,63
00:40:24,67
00:40:39,70
00:40:44,68
00:40:54,67
00:40:59,64
00:41:04,63
00:41:09,62
00:41:24,62
00:41:29,57
00:41:34,54
00:41:39,53
00:41:44,51
00:41:49,50
00:42:04,49
00:42:09,50
00:42:14,52
00:42:19,51
00:42:29,53
00:42:34,54
00:42:39,55
00:42:44,54
00:42:49,53
00:42:55,55
00:43:05,54
00:43:10,53
00:43:15,52
00:43:25,51
00:43:40,52
00:43:45,53
00:43:50,59
00:43:55,63
00:44:00,63
00:44:05,62
00:44:10,59
00:44:15,56
00:44:30,53
00:44:35,51
00:44:40,50
00:44:55,51
00:45:00,52
00:45:05,53
00:45:10,53
00:45:15,52
00:45:20,53
00:45:30,54
00:45:35,55
00:45:40,56
00:45:45,58
00:45:50,57
00:45:57,56
00:46:02,55
00:46:07,56
00:46:12,55
00:46:17,54
00:46:22,53
00:46:27,55
00:46:32,56
00:46:37,55
00:46:42,56
00:46:47,55
00:46:52,55
00:46:57,58
00:47:02,56
00:47:07,56
00:47:12,58
00:47:22,60
00:47:27,59
00:47:32,58
00:47:42,57
00:47:47,55
00:47:52,56
00:47:57,55
00:48:02,54
00:48:12,55
00:48:17,56
00:48:22,55
00:48:28,56
00:48:33,54
00:48:38,55
00:48:43,57
00:48:48,57
00:48:53,56
00:48:58,55
00:49:08,54
00:49:13,55
00:49:18,54
00:49:33,55
00:49:38,55
00:49:43,54
00:49:48,53
00:49:53,53
00:49:58,52
00:50:08,55
00:50:18,53
00:50:28,54
00:50:33,54
00:50:38,53
00:50:48,52
00:50:53,53
00:50:58,54
00:51:13,55
00:51:23,54
00:51:28,55
00:51:35,54
00:51:40,56
00:51:45,55
00:51:50,56
00:51:55,55
00:52:00,56
00:52:05,55
00:52:10,54
00:52:15,53
00:52:20,51
00:52:25,52
00:52:40,54
00:52:45,53
00:53:00,52
00:53:05,53
00:53:15,51
00:53:25,50
00:53:35,51
00:53:50,53
00:54:05,55
00:54:10,57
00:54:15,55
00:54:20,57
00:54:35,59
00:54:40,58
00:54:50,59
00:55:05,60
00:55:07,60
00:55:12,61
00:55:22,63
00:55:32,63
00:55:37,65
00:55:42,64
00:55:47,62
00:55:52,60
00:55:57,56
00:56:02,55
00:56:07,54
00:56:22,55
00:56:27,55
00:56:32,53
00:56:37,52
00:56:47,51
00:57:02,52
00:57:17,53
00:57:27,52
00:57:32,53
00:57:37,54
00:57:47,55
00:57:52,54
00:57:57,55
00:58:02,56
00:58:17,56
00:58:22,55
00:58:29,55
00:58:34,57
00:58:39,56
00:58:44,55
00:58:49,57
00:58:54,55
00:59:04,56
00:59:14,55
00:59:19,54
00:59:34,54
00:59:39,56
00:59:44,55
00:59:49,57
00:59:54,58
00:59:59,59
01:00:04,61
01:00:09,59
01:00:14,58
01:00:19,56
01:00:29,55
01:00:34,54
01:00:44,53
01:00:49,52
01:00:54,56
01:00:59,55
01:01:14,56
01:01:24,55
01:01:30,54
01:01:35,53
01:01:40,55
01:01:50,57
01:01:55,56
01:02:00,56
01:02:10,55
01:02:15,71
01:02:20,70
01:02:25,62
01:02:30,60
01:02:35,58
01:02:40,56
01:02:45,57
01:03:00,55
01:03:05,52
01:03:10,51
01:03:25,53
01:03:30,52
01:03:40,53
01:03:50,52
01:03:55,53
01:04:00,54
01:04:05,55
01:04:10,54
01:04:17,56
01:04:22,57
01:04:27,56
01:04:32,55
01:04:37,54
01:04:42,55
01:04:47,56
01:04:52,57
01:05:02,56
01:05:07,55
01:05:12,53
01:05:17,52
01:05:22,50
01:05:27,49
01:05:42,49
01:05:47,50
01:05:52,49
01:06:02,50
01:06:07,52
01:06:12,51
01:06:27,51
01:06:32,50
01:06:37,50
01:06:47,49
01:07:02,51
01:07:17,52
01:07:22,51
01:07:29,50
01:07:34,49
01:07:39,48
01:07:54,48
01:07:59,48
01:08:04,49
01:08:09,50
01:08:19,62
01:08:24,60
01:08:34,60
01:08:39,57
01:08:44,55
01:08:49,52
01:08:59,54
01:09:09,54
01:09:14,50
01:09:19,48
01:09:24,48
01:09:34,49
01:09:39,60
01:09:54,58
01:09:59,56
01:10:04,54
